ControlType.Pane | Claude
ControlType.Button | Minimize
ControlType.Button | Restore
ControlType.Button | Close
ControlType.Document | Windows desktop automation stack for Electron apps - Claude
ControlType.Group | Primary pane
ControlType.Text | Architected comprehensive stack comparison weighing CDP, FlaUI, vision fallbacks strategically
ControlType.Text | Claude Fable 5 is currently unavailable.
ControlType.Hyperlink | Learn more (opens in new tab)
ControlType.Button | Dismiss
ControlType.Window | Move chat
ControlType.Text | Move chat
ControlType.Text | Select a project to move this chat into.
ControlType.Button | Close
ControlType.Text | Select a project
ControlType.ComboBox | Select a project
ControlType.List | Projects
ControlType.ListItem | Claude
ControlType.ListItem | Ana's Recovery
ControlType.ListItem | Investing
ControlType.ListItem | The Hard Problem
ControlType.ListItem | Science
ControlType.ListItem | Resume
ControlType.ListItem | Semantic Reference Theory
ControlType.ListItem | Georgia
ControlType.ListItem | Turkey
ControlType.ListItem | Russia
ControlType.ListItem | Physics
ControlType.ListItem | Number Theory
ControlType.ListItem | Nikolai
ControlType.ListItem | Miscellaneous
ControlType.ListItem | Grammar
ControlType.ListItem | Eirian
ControlType.ListItem | Ana's Fiverr Inbox
ControlType.ListItem | Chemistry
ControlType.ListItem | Seren
