2026-06-16T16:44:08.515Z [OK] Read chat list (25ms)
2026-06-16T16:44:08.988Z [OK] Read conversation turns (32ms)
2026-06-16T16:44:09.435Z [OK] Read conversation title (26ms)
2026-06-16T16:44:11.039Z [OK] Read conversation title (30ms)
2026-06-16T16:44:11.118Z [OK] Read conversation title (27ms)
2026-06-16T16:44:11.262Z [OK] Read conversation title (35ms)
2026-06-16T16:44:11.492Z [OK] Read conversation title (30ms)
2026-06-16T16:44:11.976Z [OK] Read conversation title (70ms)
2026-06-16T16:44:12.809Z [OK] Read conversation title (32ms)
2026-06-16T16:44:13.844Z [OK] Read conversation title (33ms)
2026-06-16T16:44:14.878Z [OK] Read conversation title (33ms)
2026-06-16T16:44:15.923Z [OK] Read conversation title (32ms)
2026-06-16T16:44:16.964Z [OK] Read conversation title (33ms)
2026-06-16T16:44:18.014Z [OK] Read conversation title (35ms)
2026-06-16T16:44:19.050Z [OK] Read conversation title (32ms)
2026-06-16T16:44:20.097Z [OK] Read conversation title (36ms)
2026-06-16T16:44:21.130Z [OK] Read conversation title (33ms)
2026-06-16T16:44:22.170Z [OK] Read conversation title (41ms)
2026-06-16T16:44:23.210Z [OK] Read conversation title (31ms)
2026-06-16T16:44:24.243Z [OK] Read conversation title (31ms)
2026-06-16T16:44:25.274Z [OK] Read conversation title (30ms)
2026-06-16T16:44:26.325Z [OK] Read conversation title (48ms)
2026-06-16T16:44:27.370Z [OK] Read conversation title (42ms)
2026-06-16T16:44:28.419Z [OK] Read conversation title (40ms)
2026-06-16T16:44:29.465Z [OK] Read conversation title (36ms)
2026-06-16T16:44:30.514Z [OK] Read conversation title (43ms)
2026-06-16T16:44:31.565Z [OK] Read conversation title (37ms)
2026-06-16T16:44:32.604Z [OK] Read conversation title (32ms)
2026-06-16T16:44:33.662Z [OK] Read conversation title (50ms)
2026-06-16T16:44:34.717Z [OK] Read conversation title (55ms)
2026-06-16T16:44:35.778Z [OK] Read conversation title (50ms)
2026-06-16T16:44:36.880Z [OK] Read conversation title (87ms)
2026-06-16T16:44:37.965Z [OK] Read conversation title (72ms)
2026-06-16T16:44:39.023Z [OK] Read conversation title (55ms)
2026-06-16T16:44:40.106Z [OK] Read conversation title (78ms)
2026-06-16T16:44:45.329Z [FAIL] Rename to "Does Playwright _electron API work with MSIX-packaged Electron apps on Window..." (36310ms) — Claude window is not the foreground window. Cannot proceed safely.
