2026-06-16T18:25:06.747Z [OK] Read chat list (20ms)
2026-06-16T18:25:07.919Z [OK] Read conversation turns (22ms)
2026-06-16T18:25:08.378Z [OK] Read conversation title (34ms)
2026-06-16T18:25:09.621Z [OK] Read conversation title (28ms)
2026-06-16T18:25:09.712Z [OK] Read conversation title (38ms)
2026-06-16T18:25:09.851Z [OK] Read conversation title (29ms)
2026-06-16T18:25:10.083Z [OK] Read conversation title (24ms)
2026-06-16T18:25:10.510Z [OK] Read conversation title (25ms)
2026-06-16T18:25:11.346Z [OK] Read conversation title (25ms)
2026-06-16T18:25:12.387Z [OK] Read conversation title (27ms)
2026-06-16T18:25:13.417Z [OK] Read conversation title (27ms)
2026-06-16T18:25:14.448Z [OK] Read conversation title (24ms)
2026-06-16T18:25:15.484Z [OK] Read conversation title (33ms)
2026-06-16T18:25:16.519Z [OK] Read conversation title (28ms)
2026-06-16T18:25:17.560Z [OK] Read conversation title (36ms)
2026-06-16T18:25:18.608Z [OK] Read conversation title (34ms)
2026-06-16T18:25:19.640Z [OK] Read conversation title (31ms)
2026-06-16T18:25:20.673Z [OK] Read conversation title (32ms)
2026-06-16T18:25:21.709Z [OK] Read conversation title (32ms)
2026-06-16T18:25:22.757Z [OK] Read conversation title (35ms)
2026-06-16T18:25:23.782Z [OK] Read conversation title (23ms)
2026-06-16T18:25:24.821Z [OK] Read conversation title (30ms)
2026-06-16T18:25:25.847Z [OK] Read conversation title (25ms)
2026-06-16T18:25:26.883Z [OK] Read conversation title (23ms)
2026-06-16T18:25:27.922Z [OK] Read conversation title (32ms)
2026-06-16T18:25:37.143Z [OK] Read conversation title (8219ms)
2026-06-16T18:25:38.201Z [OK] Read conversation title (47ms)
2026-06-16T18:25:39.253Z [OK] Read conversation title (37ms)
2026-06-16T18:25:44.514Z [FAIL] Rename to "How do collaborative AI agent frameworks handle disagreement between agents w..." (36576ms) — Claude window is not the foreground window. Cannot proceed safely.
