ControlType.Pane | Claude
ControlType.Button | Minimize
ControlType.Button | Restore
ControlType.Button | Close
ControlType.Document | Feferman's extensions of Turing's doctoral work - Claude
ControlType.Button | Menu
ControlType.Button | Collapse sidebar
ControlType.Button | Search
ControlType.Button | Back
ControlType.Button | Forward
ControlType.Group | Sidebar
ControlType.Hyperlink | Skip to content
ControlType.Thumb | Resize sidebar
ControlType.Group | Mode
ControlType.Button | Chat
ControlType.Button | Cowork
ControlType.Button | Code
ControlType.Button | New chat
ControlType.Button | Projects
ControlType.Button | Artifacts
ControlType.Button | Customize
ControlType.Button | Recents
ControlType.Button | View all
ControlType.Button | Feferman's extensions of Turing's doctoral work
ControlType.Button | More options for Feferman's extensions of Turing's doctoral work
ControlType.Button | Batumi Summer
ControlType.Button | More options for Batumi Summer
ControlType.Button | Semantic Primes
ControlType.Button | More options for Semantic Primes
ControlType.Button | 💬 Can you look up the research o…
ControlType.Button | More options for 💬 Can you look up the research o…
ControlType.Button | Ontic Structural Realism
ControlType.Button | More options for Ontic Structural Realism
ControlType.Button | Организация дневника травмы и эмоциональной поддержки
ControlType.Button | More options for Организация дневника травмы и эмоциональной поддержки
ControlType.Button | Georgia IE residency income threshold
ControlType.Button | More options for Georgia IE residency income threshold
ControlType.Button | Ontic Structural Realism
ControlType.Button | More options for Ontic Structural Realism
ControlType.Button | American grocery options in Saburtalo Tbilisi
ControlType.Button | More options for American grocery options in Saburtalo Tbilisi
ControlType.Button | Летняя погода в Батуми
ControlType.Button | More options for Летняя погода в Батуми
ControlType.Button | Representation & the Part - Whole Dichotomy
ControlType.Button | More options for Representation & the Part - Whole Dichotomy
ControlType.Button | Восстановление аккаунта Бравл Старс без почты
ControlType.Button | More options for Восстановление аккаунта Бравл Старс без почты
ControlType.Button | Письмо психотерапевту Меган
ControlType.Button | More options for Письмо психотерапевту Меган
ControlType.Button | SRT Axioms & Specialization
ControlType.Button | More options for SRT Axioms & Specialization
ControlType.Button | MTONGA
ControlType.Button | More options for MTONGA
ControlType.Button | Marie_Siettle
ControlType.Button | More options for Marie_Siettle
ControlType.Button | Судебный иск о разделе имущества как рычаг давления
ControlType.Button | More options for Судебный иск о разделе имущества как рычаг давления
ControlType.Button | Борьба с тараканами в Тбилиси
ControlType.Button | More options for Борьба с тараканами в Тбилиси
ControlType.Button | Administering cat medications as whole capsules
ControlType.Button | More options for Administering cat medications as whole capsules
ControlType.Button | Airbnb host refund authority and options
ControlType.Button | More options for Airbnb host refund authority and options
ControlType.Button | Doug Doug Max
ControlType.Image | Doug
ControlType.Text | Doug
ControlType.Text | Max
ControlType.Button | Get apps and extensions
ControlType.Group | Primary pane
ControlType.Button | Feferman's extensions of Turing's doctoral work, rename chat
ControlType.Button | More options for Feferman's extensions of Turing's doctoral work
ControlType.Button | Share chat
ControlType.Text | Claude finished the response
ControlType.Text | You said: How Feferman build on Turing's PhD research topic?
ControlType.Text | How Feferman build on Turing's PhD research topic?
ControlType.Group | Message actions
ControlType.Text | 4:52 PM
ControlType.Button | Retry
ControlType.Button | Edit
ControlType.Button | Copy
ControlType.Text | Claude responded: Feferman's connection to Turing runs through one specific, beautiful idea, and it's worth being precise about it.
ControlType.Button | Excavated Feferman's extensions to Turing's ordinal logics framework
ControlType.Text | Excavated Feferman's extensions to Turing's ordinal logics framework
ControlType.Text | Feferman's connection to Turing runs through one specific, beautiful idea, and it's worth being precise about it.
ControlType.Text | Turing's 1938 Princeton dissertation under Alonzo Church was
ControlType.Text | Systems of Logic Based on Ordinals
ControlType.Text |  — what became known as
ControlType.Text | ordinal logics
ControlType.Text | . The motivation was Gödel's second incompleteness theorem. A sound theory like Peano arithmetic can't prove its own consistency statement Con(PA), but Con(PA) is true, so you can honestly strengthen the theory by adjoining it: T₀ = PA, T₁ = T₀ + Con(T₀), T₂ = T₁ + Con(T₁), and so on. At limit stages you take unions. The result is a
ControlType.Text | transfinite progression
ControlType.Text |  of theories. Because you have to actually write the theories down, the progression isn't indexed by abstract ordinals but by
ControlType.Text | ordinal notations
ControlType.Text |  — members of Kleene's system O of recursive notations.
ControlType.Text | Turing's headline result was a completeness theorem: the consistency progression is complete for true Π⁰₁ sentences — every true universally-quantified arithmetic statement becomes provable somewhere along the progression. But the result came with a famous sting. Turing showed the completeness can already be achieved at a notation for an ordinal as small as ω+1. That exposes the catch: the
ControlType.Text | ordinal
ControlType.Text |  isn't doing the work; the
ControlType.Text | notation
ControlType.Text |  is, because a cleverly chosen notation can smuggle the arithmetic content in. The dependence on notation rather than order type made the whole thing feel, in Turing's own assessment, not entirely satisfactory.
ControlType.Text | Feferman's 1962 paper
ControlType.Text | Transfinite Recursive Progressions of Axiomatic Theories
ControlType.Text |  is where this gets systematized and pushed much further. His main moves:
ControlType.Text | He separated the
ControlType.Text | principles
ControlType.Text |  you iterate. Turing essentially iterated consistency. Feferman organized a hierarchy — consistency, then the local (or "simple") reflection schema Prov_T(⌜φ⌝) → φ, then the
ControlType.Text | uniform reflection principle
ControlType.Text |  ∀x(Prov_T(⌜φ(ẋ)⌝) → φ(x)), which is strictly stronger. Consistency is just the instance for φ ≡ (0=1).
ControlType.Text | With that stronger fuel he proved a sharper completeness theorem: the progression based on
ControlType.Text | uniform reflection is complete for all true sentences of first-order arithmetic
ControlType.Text | , not merely the Π⁰₁ ones. That's a real strengthening of Turing's theorem. At the same time Feferman gave a cleaner account of
ControlType.Text | why
ControlType.Text |  the notation-dependence pathology arises and how unavoidable it is, so the result is both stronger and more honest about its own limits.
ControlType.Text | The deeper payoff — and the part that turned Turing's somewhat pathological device into a genuine tool — came a couple of years later in the work on
ControlType.Text | predicativity
ControlType.Text | . Feferman (and independently Kurt Schütte) studied
ControlType.Text | autonomous
ControlType.Text |  progressions: ones where you're only permitted to climb to a notation for α once you've already proved, at an earlier stage, that that notation denotes a genuine well-ordering. That autonomy condition bootstraps and self-limits. Starting from predicatively acceptable foundations, the autonomous progression of ramified analysis climbs to exactly the ordinal
ControlType.Text | Γ₀
ControlType.Text | , now called the Feferman–Schütte ordinal — the proposed precise upper bound of predicative provability. So Turing's progressions, which originally looked like a curiosity haunted by notation-dependence, became the engine for measuring proof-theoretic strength and for drawing the line between predicative and impredicative mathematics.
ControlType.Text | If you want Feferman in his own reflective voice on all this, his essay
ControlType.Text | Turing in the Land of O(z)
ControlType.Text |  (the title puns on Kleene's O) is exactly about what Turing did, what was wrong with it, and what he himself made of it.
ControlType.Text | One caveat for rigor's sake: the conceptual lineage above I'm confident about, but I'd verify any exact ordinal-bound claim about the
ControlType.Text | path length
ControlType.Text |  in Feferman's completeness theorem against the paper itself before relying on it — I deliberately haven't asserted a specific bound there because I'm not certain of it from memory.
ControlType.Group | Message actions
ControlType.Button | Copy
ControlType.Button | Read aloud
ControlType.Button | Give positive feedback
ControlType.Button | Give negative feedback
ControlType.Button | Retry
ControlType.Text | You said: Can you elaborate on the specific mathematical contributions?
ControlType.Text | Can you elaborate on the specific mathematical contributions?
ControlType.Group | Message actions
ControlType.Text | 4:53 PM
ControlType.Button | Retry
ControlType.Button | Edit
ControlType.Button | Copy
ControlType.Text | Claude responded: I'll verify a couple of the precise technical claims before laying this out in detail — particularly the exact form of Feferman's completeness theorem and the …
ControlType.Button | Verifying Feferman's ordinal bounds and theorem statements
ControlType.Text | Verifying Feferman's ordinal bounds and theorem statements
ControlType.Text | I'll verify a couple of the precise technical claims before laying this out in detail — particularly the exact form of Feferman's completeness theorem and the ordinal bounds, which is where I want to be careful.
ControlType.Button | Synthesizing Turing and Feferman's foundational mathematical contributions
ControlType.Text | Synthesizing Turing and Feferman's foundational mathematical contributions
ControlType.Text | I have the precise bound now. Let me confirm the predicativity side and the Feferman–Spector result.
ControlType.Button | Synthesized mathematical contributions across recursion theory and proof-theoretic ordinals
ControlType.Text | Synthesized mathematical contributions across recursion theory and proof-theoretic ordinals
ControlType.Text | Here are the contributions broken out as distinct pieces of mathematics, in roughly the order they build on each other.
ControlType.Text | 1. The foundational tool: arithmetizing metamathematics generally.
ControlType.Text | Before any of the progression results, Feferman did the unglamorous but essential work in
ControlType.Text | Arithmetization of Metamathematics in a General Setting
ControlType.Text |  (1960). Turing's construction was somewhat informal about
ControlType.Text | how
ControlType.Text |  a theory refers to itself well enough to adjoin its own consistency statement. Feferman made the provability predicate Prov_T a genuine object of study, parameterized by a Σ⁰₁ definition of the axiom set, and showed that the
ControlType.Text | intensional
ControlType.Text |  details of how you arithmetize a theory matter enormously — two extensionally identical theories with different Σ⁰₁ presentations can have provability predicates that behave completely differently (this is the lineage of the later Rosser-style and "Feferman provability" subtleties). One concrete payoff he isolated there and used downstream: if the reflection formula φ is restricted to Σ₁, then reflection always
ControlType.Text | strictly
ControlType.Text |  strengthens the theory, whereas higher-complexity reflection need not. A Σ₁-formula with n free variables defines an n-ary effectively enumerable relation, and conversely
ControlType.Text |  — that effectiveness is what keeps the construction inside the recursive machinery.
ControlType.Hyperlink | Diva-portal
ControlType.Text | 2. The construction itself, done rigorously with the recursion theorem.
ControlType.Text | The progression assigns to each notation a ∈ O a theory T_a, by primitive recursion on the notation structure: T_1 = PA, T_{2^a} = T_a + (reflection over T_a), and at a limit notation 3·5^e you union the theories T_{{e}(n)}. The non-obvious part is that T_a has to refer to its own Gödel apparatus while being defined, so the definition is circular; Feferman discharged this with Kleene's recursion theorem, and his later commentators note he used it in increasingly entangled ways to generate non-standard definitions of theories.
ControlType.Text |  A consequence he was explicit about: for a ∉ O the "theories" T_a are still defined but worthless, and can even be inconsistent — the recursion theorem ensures there is an e with {e}(0) = suc(lim(e)),
ControlType.Text |  a notation that lies about its own structure. Well-foundedness of O is doing real work.
ControlType.Hyperlink | ResearchGate
ControlType.Hyperlink | Stanford Encyclopedia of Philosophy
ControlType.Text | 3. The reflection hierarchy and the jump from consistency to uniform reflection.
ControlType.Text | This is the substantive conceptual move. Turing iterated
ControlType.Text | consistency
ControlType.Text | , Con(T_a) ≡ ¬Prov_{T_a}(⌜0=1⌝). Feferman organized a strict hierarchy of reflection principles to iterate instead:
ControlType.ListItem | consistency (a single sentence),
ControlType.ListItem | local/simple reflection Prov_T(⌜φ⌝) → φ (a schema, one instance per sentence φ; consistency is the φ ≡ 0=1 instance),
ControlType.ListItem | uniform reflection ∀x(Prov_T(⌜φ(ẋ)⌝) → φ(x)), the schema over formulas with a free variable, with ẋ the numeral of x.
ControlType.Text | uniform reflection
ControlType.Text | Uniform reflection is strictly stronger than local, which is strictly stronger than consistency — the gap between local and uniform is exactly the ability to discharge a universally-quantified provability claim in one stroke rather than instance by instance, and that gap is what powers the next result. He considered a variant of Turing's progression where local reflections are replaced with uniform reflections.
ControlType.Hyperlink | arxiv
ControlType.Text | 4. Feferman's completeness theorem (1962) and its sharp price.
ControlType.Text | Turing had shown his consistency progression complete only for true Π⁰₁ sentences, and there's a clean reason he couldn't do better: the union ⋃T_a has a Σ⁰₂ provability predicate, so it cannot prove all true Π⁰₂ sentences without contradicting the arithmetical hierarchy theorem. The problem left open after Turing's thesis — whether any stronger progression can be complete for Π⁰₂ — was settled by Feferman with the result that progressions based on uniform reflection are complete not just for Π⁰₂ but for all arithmetical sentences.
ControlType.Text |  Stated precisely: for a progression based on the uniform reflection principle with T₀ = PA, every true arithmetical sentence θ has some a ∈ O with T_a ⊢ θ.
ControlType.Hyperlink | Stanford Encyclopedia of Philosophy
ControlType.Hyperlink | Stanford Encyclopedia of Philosophy
ControlType.Text | The crucial quantitative refinement, which is where the construction's character shows: this does
ControlType.Text | not
ControlType.Text |  require climbing high in the ordinals. Feferman's construction gives ω^(ω^(ω+1)) as an upper bound on the order type of the notations along which you must iterate reflection to obtain a proof of a given φ.
ControlType.Text |  So an order type below ε₀ suffices to prove
ControlType.Text | every
ControlType.Text |  true arithmetic statement, including ones of arbitrarily high quantifier complexity. The work is plainly not being done by the ordinal — it's being done by the choice of
ControlType.Text | notation
ControlType.Text | , which can encode the target sentence's content into the path. This is the rigorous form of the "unsatisfactoriness" Turing already sensed: completeness is real but it is bought with notation-dependence, not ordinal height. (Pakhomov–Rathjen–Rossegger's 2024 paper sharpens this further, giving tight bounds on the order types needed level-by-level in the arithmetical hierarchy.)
ControlType.Hyperlink | arxiv
ControlType.Text | 5. Feferman–Spector: incompleteness along paths.
ControlType.Text | The complement to completeness, and the result that makes the pathology unavoidable rather than incidental, is
ControlType.Text | Incompleteness Along Paths in Progressions of Theories
